0.0000 0.0000 0.0000 0.0000 0.0000 0.0955 0.3455 0.6545 0.9045 1.0000 0.9045 0.6545 0.3455 0.0955 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 0.0000 0.0000 -0.0000 -0.0382 -0.0427 0.1219 0.4309 0.7663 1.0000 1.0427 0.8781 0.5691 0.2337 0.0382 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 0.0000 0.0000 0.0153 -0.0211 -0.1067 -0.0676 0.1731 0.5387 0.8894 1.0915 1.0676 0.8269 0.4460 0.1317 0.0153 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 -0.0000 -0.0061 0.0237 0.0277 -0.0882 -0.1795 -0.0694 0.2521 0.6683 1.0202 1.1734 1.0755 0.7241 0.3040 0.0679 0.0061 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0000 0.0024 -0.0156 0.0102 0.0724 -0.0053 -0.1870 -0.2420 -0.0429 0.3611 0.8182 1.1513 1.2552 1.0327 0.5665 0.1871 0.0333 0.0024 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-0.0010 0.0087 -0.0187 -0.0250 0.0786 0.0985 -0.0923 -0.2997 -0.2842 0.0167 0.5021 0.9765 1.3026 1.3082 0.9047 0.4004 0.1072 0.0158 0.0010 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-0.0045 0.0158 -0.0052 -0.0640 0.0292 0.1669 0.0669 -0.2229 -0.4107 -0.2979 0.1182 0.6563 1.1699 1.4674 1.2678 0.7194 0.2610 0.0582 0.0073 0.0004 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-0.0106 0.0161 0.0267 -0.0777 -0.0631 0.1518 0.2229 -0.0319 -0.3807 -0.5094 -0.2635 0.2356 0.8455 1.4282 1.5670 1.1221 0.5255 0.1597 0.0304 0.0033 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 -0.0002 
-0.0162 0.0012 0.0642 -0.0418 -0.1549 0.0374 0.2963 0.2096 -0.1897 -0.5563 -0.5615 -0.2080 0.3684 1.1396 1.6895 1.5388 0.9104 0.3577 0.0930 0.0154 0.0015 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0001 -0.0010 
-0.0141 -0.0310 0.0814 0.0458 -0.1866 -0.1431 0.2275 0.4040 0.1166 -0.4076 -0.7008 -0.5800 -0.1706 0.6112 1.5298 1.8504 1.3828 0.6847 0.2299 0.0520 0.0076 0.0007 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 -0.0000 -0.0000 0.0005 -0.0035 
