0.3193 0.3140 0.3089 0.3039 0.2991 0.2945 0.2900 0.2856 0.2813 0.2772 0.2731 0.2691 0.2652 0.2613 0.2575 0.2538 0.2501 0.2465 0.2429 0.2393 0.2357 0.2322 0.2287 0.2253 0.2218 0.2184 0.2150 0.2116 0.2083 0.2050 0.2018 0.1986 0.1954 0.1923 0.1892 0.1862 0.1833 0.1805 0.1777 0.1751 0.1725 
0.3429 0.3372 0.3318 0.3265 0.3214 0.3165 0.3117 0.3070 0.3024 0.2980 0.2937 0.2894 0.2852 0.2811 0.2771 0.2731 0.2691 0.2652 0.2614 0.2575 0.2537 0.2499 0.2462 0.2424 0.2387 0.2350 0.2314 0.2277 0.2242 0.2206 0.2171 0.2136 0.2102 0.2068 0.2035 0.2002 0.1970 0.1940 0.1910 0.1881 0.1853 
0.3663 0.3603 0.3545 0.3489 0.3435 0.3383 0.3332 0.3283 0.3235 0.3188 0.3142 0.3096 0.3052 0.3009 0.2966 0.2923 0.2881 0.2839 0.2798 0.2757 0.2716 0.2676 0.2636 0.2596 0.2556 0.2517 0.2477 0.2438 0.2399 0.2361 0.2323 0.2286 0.2249 0.2212 0.2176 0.2141 0.2107 0.2073 0.2041 0.2009 0.1979 
0.3894 0.3831 0.3770 0.3712 0.3655 0.3600 0.3546 0.3494 0.3444 0.3394 0.3346 0.3298 0.3251 0.3205 0.3160 0.3115 0.3070 0.3026 0.2982 0.2939 0.2896 0.2853 0.2810 0.2767 0.2725 0.2682 0.2640 0.2599 0.2557 0.2516 0.2475 0.2435 0.2395 0.2356 0.2317 0.2279 0.2242 0.2206 0.2171 0.2137 0.2104 
0.4123 0.4057 0.3993 0.3932 0.3873 0.3815 0.3759 0.3705 0.3651 0.3600 0.3549 0.3499 0.3450 0.3401 0.3353 0.3306 0.3259 0.3213 0.3166 0.3120 0.3075 0.3029 0.2984 0.2938 0.2893 0.2848 0.2803 0.2759 0.2714 0.2670 0.2627 0.2583 0.2541 0.2499 0.2457 0.2416 0.2377 0.2338 0.2300 0.2263 0.2228 
0.4350 0.4281 0.4214 0.4150 0.4088 0.4028 0.3970 0.3913 0.3858 0.3804 0.3751 0.3699 0.3647 0.3597 0.3547 0.3497 0.3448 0.3399 0.3350 0.3302 0.3253 0.3205 0.3157 0.3109 0.3061 0.3014 0.2966 0.2919 0.2871 0.2824 0.2778 0.2732 0.2686 0.2641 0.2597 0.2553 0.2510 0.2468 0.2428 0.2388 0.2350 
0.4573 0.4502 0.4433 0.4367 0.4302 0.4240 0.4180 0.4121 0.4064 0.4007 0.3952 0.3898 0.3845 0.3792 0.3739 0.3688 0.3636 0.3585 0.3534 0.3483 0.3432 0.3381 0.3331 0.3280 0.3229 0.3179 0.3128 0.3078 0.3028 0.2978 0.2929 0.2879 0.2831 0.2783 0.2735 0.2688 0.2643 0.2598 0.2554 0.2512 0.2471 
0.4794 0.4720 0.4649 0.4581 0.4515 0.4450 0.4388 0.4327 0.4268 0.4210 0.4153 0.4096 0.4041 0.3986 0.3932 0.3878 0.3824 0.3771 0.3717 0.3664 0.3611 0.3557 0.3504 0.3451 0.3397 0.3344 0.3291 0.3238 0.3184 0.3132 0.3079 0.3027 0.2975 0.2924 0.2873 0.2823 0.2774 0.2726 0.2680 0.2634 0.2590 
0.5012 0.4936 0.4863 0.4793 0.4725 0.4659 0.4594 0.4532 0.4471 0.4411 0.4352 0.4294 0.4237 0.4180 0.4124 0.4068 0.4012 0.3956 0.3901 0.3845 0.3789 0.3733 0.3678 0.3622 0.3565 0.3509 0.3453 0.3397 0.3341 0.3285 0.3229 0.3173 0.3118 0.3064 0.3010 0.2957 0.2905 0.2854 0.2804 0.2755 0.2708 
0.5227 0.5149 0.5074 0.5002 0.4932 0.4865 0.4799 0.4735 0.4673 0.4611 0.4551 0.4491 0.4432 0.4374 0.4315 0.4257 0.4200 0.4142 0.4084 0.4026 0.3968 0.3910 0.3851 0.3792 0.3734 0.3674 0.3615 0.3556 0.3497 0.3438 0.3379 0.3320 0.3261 0.3204 0.3146 0.3090 0.3034 0.2980 0.2926 0.2874 0.2824 
0.5438 0.5359 0.5283 0.5209 0.5138 0.5069 0.5002 0.4937 0.4873 0.4810 0.4749 0.4687 0.4627 0.4567 0.4507 0.4447 0.4387 0.4327 0.4267 0.4207 0.4147 0.4086 0.4025 0.3963 0.3902 0.3840 0.3778 0.3715 0.3653 0.3590 0.3528 0.3466 0.3404 0.3343 0.3282 0.3222 0.3162 0.3104 0.3048 0.2992 0.2938 
0.5646 0.5566 0.5488 0.5414 0.5342 0.5272 0.5204 0.5138 0.5073 0.5009 0.4946 0.4883 0.4821 0.4760 0.4698 0.4637 0.4575 0.4513 0.4451 0.4389 0.4326 0.4263 0.4199 0.4135 0.4070 0.4005 0.3940 0.3875 0.3809 0.3743 0.3677 0.3612 0.3546 0.3481 0.3417 0.3353 0.3290 0.3228 0.3167 0.3108 0.3051 
0.5851 0.5769 0.5691 0.5616 0.5543 0.5473 0.5404 0.5337 0.5271 0.5206 0.5142 0.5079 0.5015 0.4952 0.4889 0.4826 0.4763 0.4699 0.4635 0.4571 0.4505 0.4440 0.4373 0.4307 0.4239 0.4171 0.4103 0.4034 0.3965 0.3896 0.3826 0.3757 0.3688 0.3619 0.3551 0.3483 0.3416 0.3350 0.3286 0.3223 0.3161 
0.6052 0.5970 0.5891 0.5815 0.5742 0.5671 0.5602 0.5535 0.5468 0.5403 0.5338 0.5274 0.5209 0.5145 0.5081 0.5016 0.4951 0.4886 0.4820 0.4753 0.4685 0.4617 0.4548 0.4479 0.4409 0.4338 0.4266 0.4194 0.4121 0.4049 0.3976 0.3902 0.3829 0.3756 0.3684 0.3612 0.3541 0.3471 0.3402 0.3335 0.3270 
0.6249 0.6167 0.6088 0.6012 0.5939 0.5868 0.5799 0.5731 0.5665 0.5599 0.5534 0.5468 0.5403 0.5338 0.5273 0.5207 0.5140 0.5073 0.5005 0.4936 0.4866 0.4796 0.4724 0.4652 0.4579 0.4505 0.4430 0.4354 0.4278 0.4202 0.4125 0.4048 0.3970 0.3893 0.3817 0.3741 0.3665 0.3591 0.3518 0.3446 0.3376 
0.6442 0.6360 0.6282 0.6207 0.6134 0.6063 0.5995 0.5927 0.5860 0.5794 0.5729 0.5663 0.5597 0.5531 0.5465 0.5398 0.5330 0.5261 0.5191 0.5120 0.5048 0.4975 0.4901 0.4826 0.4749 0.4672 0.4594 0.4515 0.4435 0.4355 0.4274 0.4193 0.4112 0.4030 0.3949 0.3868 0.3788 0.3709 0.3631 0.3555 0.3481 
0.6631 0.6550 0.6473 0.6399 0.6327 0.6257 0.6189 0.6122 0.6055 0.5990 0.5924 0.5858 0.5792 0.5725 0.5658 0.5589 0.5520 0.5449 0.5378 0.5305 0.5231 0.5155 0.5079 0.5001 0.4921 0.4841 0.4759 0.4677 0.4593 0.4509 0.4424 0.4338 0.4253 0.4167 0.4081 0.3995 0.3910 0.3826 0.3744 0.3662 0.3583 
0.6816 0.6737 0.6661 0.6588 0.6517 0.6449 0.6382 0.6316 0.6250 0.6185 0.6119 0.6053 0.5987 0.5920 0.5851 0.5782 0.5711 0.5639 0.5566 0.5491 0.5415 0.5337 0.5258 0.5177 0.5094 0.5011 0.4926 0.4839 0.4752 0.4663 0.4574 0.4484 0.4394 0.4303 0.4212 0.4122 0.4031 0.3942 0.3854 0.3768 0.3683 
0.6997 0.6920 0.6846 0.6775 0.6706 0.6639 0.6574 0.6509 0.6444 0.6380 0.6315 0.6249 0.6183 0.6115 0.6046 0.5976 0.5904 0.5831 0.5756 0.5679 0.5600 0.5520 0.5438 0.5354 0.5269 0.5182 0.5093 0.5003 0.4912 0.4819 0.4725 0.4631 0.4535 0.4439 0.4343 0.4247 0.4152 0.4057 0.3963 0.3871 0.3781 
0.7174 0.7099 0.7027 0.6959 0.6893 0.6829 0.6765 0.6702 0.6639 0.6575 0.6511 0.6446 0.6380 0.6312 0.6243 0.6171 0.6099 0.6024 0.5947 0.5869 0.5788 0.5705 0.5620 0.5534 0.5445 0.5354 0.5262 0.5168 0.5072 0.4975 0.4877 0.4778 0.4677 0.4576 0.4475 0.4373 0.4271 0.4171 0.4071 0.3972 0.3876 
0.7345 0.7274 0.7206 0.7141 0.7078 0.7017 0.6956 0.6895 0.6834 0.6771 0.6708 0.6644 0.6578 0.6510 0.6440 0.6369 0.6295 0.6219 0.6141 0.6060 0.5977 0.5892 0.5805 0.5715 0.5623 0.5529 0.5433 0.5335 0.5235 0.5133 0.5030 0.4925 0.4820 0.4713 0.4606 0.4498 0.4390 0.4283 0.4177 0.4072 0.3969 
0.7513 0.7446 0.7382 0.7322 0.7263 0.7204 0.7146 0.7088 0.7029 0.6969 0.6907 0.6843 0.6778 0.6710 0.6640 0.6568 0.6493 0.6416 0.6336 0.6254 0.6169 0.6081 0.5991 0.5898 0.5803 0.5705 0.5605 0.5503 0.5399 0.5293 0.5184 0.5075 0.4963 0.4851 0.4737 0.4623 0.4509 0.4395 0.4282 0.4169 0.4059 
0.7675 0.7614 0.7556 0.7500 0.7446 0.7392 0.7337 0.7282 0.7226 0.7168 0.7107 0.7045 0.6980 0.6913 0.6843 0.6770 0.6695 0.6616 0.6535 0.6450 0.6363 0.6273 0.6180 0.6084 0.5986 0.5884 0.5780 0.5674 0.5565 0.5454 0.5340 0.5225 0.5108 0.4989 0.4870 0.4749 0.4628 0.4506 0.4385 0.4265 0.4147 
0.7833 0.7779 0.7727 0.7678 0.7629 0.7580 0.7529 0.7478 0.7424 0.7368 0.7310 0.7249 0.7185 0.7118 0.7048 0.6975 0.6898 0.6819 0.6736 0.6650 0.6560 0.6468 0.6372 0.6273 0.6171 0.6066 0.5958 0.5847 0.5733 0.5617 0.5498 0.5377 0.5254 0.5129 0.5003 0.4875 0.4746 0.4617 0.4488 0.4359 0.4232 
0.7986 0.7940 0.7897 0.7854 0.7812 0.7768 0.7723 0.7675 0.7625 0.7572 0.7515 0.7456 0.7393 0.7326 0.7256 0.7183 0.7106 0.7025 0.6940 0.6852 0.6761 0.6665 0.6567 0.6465 0.6359 0.6250 0.6138 0.6023 0.5904 0.5783 0.5659 0.5532 0.5403 0.5271 0.5137 0.5002 0.4865 0.4727 0.4589 0.4451 0.4315 
0.8134 0.8099 0.8065 0.8031 0.7996 0.7959 0.7918 0.7875 0.7828 0.7778 0.7724 0.7666 0.7604 0.7538 0.7468 0.7394 0.7316 0.7234 0.7148 0.7059 0.6965 0.6867 0.6765 0.6660 0.6551 0.6438 0.6321 0.6201 0.6078 0.5951 0.5822 0.5689 0.5553 0.5415 0.5274 0.5130 0.4985 0.4838 0.4690 0.4542 0.4395 
0.8277 0.8255 0.8234 0.8210 0.8183 0.8152 0.8117 0.8079 0.8035 0.7988 0.7936 0.7880 0.7819 0.7754 0.7684 0.7610 0.7531 0.7448 0.7361 0.7269 0.7172 0.7072 0.6967 0.6859 0.6746 0.6629 0.6508 0.6383 0.6255 0.6123 0.5988 0.5849 0.5706 0.5561 0.5412 0.5261 0.5107 0.4950 0.4792 0.4632 0.4472 
0.8415 0.8412 0.8404 0.8391 0.8373 0.8349 0.8320 0.8286 0.8247 0.8203 0.8153 0.8099 0.8039 0.7974 0.7905 0.7830 0.7750 0.7666 0.7577 0.7483 0.7385 0.7281 0.7174 0.7062 0.6945 0.6824 0.6699 0.6569 0.6436 0.6298 0.6157 0.6012 0.5863 0.5710 0.5554 0.5394 0.5231 0.5064 0.4895 0.4722 0.4546 
